author,designation,interests
Nitin Pai,"Thinktank Co-founder & Director, Takshashila Foundation",Geopolitics
Umang Kohli,Expert?,"Geopolitics, External Affairs"
Swaminathan S Anklesaria Aiyar,Multilateral Consultant to the World Bank & Asian Development Bank,"Globalisation, International Relations, Economics"
Rajesh Kumar Singh,Media Journalist,Government Policy
Ramya Kannan,"Media Journalist, The Hindu","Health, Science"
Anonna Dutt,"Media Reporter, Indian Express","Health, Science"
Narayan Ramachandran,Thinktank Takshashila Institution,"Inclusive Finance, Public Policy, Entrepreneurship, Environment"
K P Nayar,Strategic Analyst,India and World Relations
Rajiv Bhatia,"Officer Indian High Commissioner to Kenya, South Africa, Lesotho, Myanmar & Mexico; Gateway House","India-Africa, South Asia"
Udit Misra,"Media Editor, Indian Express",Indian Economy
Zoya Hasan,Media Editor,Indian Politics
A Surya Prakash,"Officer -Ex Chairperson, Prasad Bharati","Indian Politics, ConstitutionalIssues, Parliamentary Issues"
Seema Sirohi,Media Indian journalist based in Washington,"India-US, Foreign Policy"
Vinayak Chatterjee,"Founder & Managing Trustee, The Infravision Foundation",Infrastructure
A K Merchant,"General Secretary, Temple of Understanding India Foundation",Interfaith Harmony
Stanly Johny,"Media Journalist, The Hindu",International Affairs
C Raja Mohan,"Senior Fellow, Asia Society Policy Institute",International Affairs
A Paul Williams,Development consultant (for Tamil Nadu minister),International Business
R V Anuradha,"Partner, Clarus Law Associates",International Economic & Environmental Laws
Gurjit Singh,Officer Ex Ambassador,International Relations
Shyam Saran,Officer Ex- Foreign Secretary; Works with Centre for Policy Research,International Relations
Harsh V Pant,Thinktank Observer Research Foundation,"International Relations, China"
Karan Thapar,Author of 'Devil's Advocate: The Untold Story',Interrogative Journalism
Sushiila Ttiwari,"Managing Director, 7qube","IT, E-sourcing Procurement, Advertising, Fashion, Trading of Minerals and Metals, Education"
Subrata Mukherjee,"Faculty (Political Science) -Ex, Delhi University","Korea, Political Thought, Gandhi, Marx"
Khadija Khan,"Media Editor, Indian Express","Law, Judiciary"
Apurva Vishwanath,"Media Editor, Indian Express","Law, Judiciary, Judicial Politics"
